"stop_name","stop_lat","stop_lon"
"Estação BRT - Pituba", -12.9999313, -38.45988060000001
"Estação BRT - Iguatemi", -12.9790746, -38.4637973
"Estação BRT - Itaigara", -12.9966651, -38.4654339
"Estação BRT - Cidade Jardim", -12.9983404, -38.4792384
"Estação BRT - HGE", -12.9983677, -38.4923
"Estação BRT - Pedrinhas", -13.0045227, -38.483889
"Estação BRT - Lapa", -12.9829131, -38.5117213
"Estação BRT - Rio Vermelho", -13.0051893, -38.4922465 
"Estação BRT - Cidadela", -12.9891169, -38.4714137 
"Estação BRT - Parque da Cidade", -12.9962019,-38.4708646 
